article_number,name,device_standard,device_type,price_euro,calibration_type,category,search_text
1033,Einstellmaße für Gewindemess- schrauben,,>200-300 mm,36.47,ISO,Dimensionsmesstechnik,Einstellmaße für Gewindemess- schrauben >200-300 mm
1034,Einstellmaße für Gewindemess- schrauben,,>300-400 mm,41.70,ISO,Dimensionsmesstechnik,Einstellmaße für Gewindemess- schrauben >300-400 mm
1035,Einstellmaße für Gewindemess- schrauben,,<= 600 mm,54.72,ISO,Dimensionsmesstechnik,Einstellmaße für Gewindemess- schrauben <= 600 mm
1036,Einstellmaße für Gewindemess- schrauben,,<= 800 mm,70.36,ISO,Dimensionsmesstechnik,Einstellmaße für Gewindemess- schrauben <= 800 mm
1037,Einstellmaße für Bügelmess- schrauben,DIN 863,>1200 - 1500 mm,64.35,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >1200 - 1500 mm
1038,Einstellmaße für Bügelmess- schrauben,DIN 863,>1500 - 2000 mm,77.01,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >1500 - 2000 mm
1040,Einstellehrdorne,DIN 7164,<=50 mm,36.47,ISO,Sonstige Messtechnik,Einstellehrdorne DIN 7164 <=50 mm
1041,Einstellehrdorne,DIN 7164,>50-100 mm,46.90,ISO,Sonstige Messtechnik,Einstellehrdorne DIN 7164 >50-100 mm
1042,Einstellehrdorne,DIN 7164,>100-150 mm,59.94,ISO,Sonstige Messtechnik,Einstellehrdorne DIN 7164 >100-150 mm
1043,Einstellehrdorne,DIN 7164,>150-200 mm,70.36,ISO,Sonstige Messtechnik,Einstellehrdorne DIN 7164 >150-200 mm
1044,Einstellehrdorne,DIN 7164,>200-250 mm,83.39,ISO,Sonstige Messtechnik,Einstellehrdorne DIN 7164 >200-250 mm
1045,Einstellehrdorne,DIN 7164,>250-300 mm,93.82,ISO,Sonstige Messtechnik,Einstellehrdorne DIN 7164 >250-300 mm
1046,Einstellehrdorne,DIN 7164,>300-400 mm,119.88,ISO,Sonstige Messtechnik,Einstellehrdorne DIN 7164 >300-400 mm
1050,Einstellringe,DIN 2250 C,<=50 mm,11.72,ISO,Sonstige Messtechnik,Einstellringe DIN 2250 C <=50 mm
1051,Einstellringe,DIN 2250 C,>50-100 mm,15.64,ISO,Sonstige Messtechnik,Einstellringe DIN 2250 C >50-100 mm
1052,Einstellringe,DIN 2250 C,>100-150 mm,18.23,ISO,Sonstige Messtechnik,Einstellringe DIN 2250 C >100-150 mm
1053,Einstellringe,DIN 2250 C,>150-200 mm,23.45,ISO,Sonstige Messtechnik,Einstellringe DIN 2250 C >150-200 mm
1054,Einstellringe,DIN 2250 C,>200-250 mm,31.27,ISO,Sonstige Messtechnik,Einstellringe DIN 2250 C >200-250 mm
1055,Einstellringe,DIN 2250 C,>250-300 mm,36.47,ISO,Sonstige Messtechnik,Einstellringe DIN 2250 C >250-300 mm
1056,Einstellringe,DIN 2250 C,>300-400 mm,41.70,ISO,Sonstige Messtechnik,Einstellringe DIN 2250 C >300-400 mm
1057,Einstellringe,DIN 2250 C,>400-600 mm,0.00,ISO,Sonstige Messtechnik,Einstellringe DIN 2250 C >400-600 mm
1058,Einstellringe,DIN 2250 C,>600-800 mm,0.00,ISO,Sonstige Messtechnik,Einstellringe DIN 2250 C >600-800 mm
1059,Einstellringe,DIN 2250 C,>800-1000 mm,0.00,ISO,Sonstige Messtechnik,Einstellringe DIN 2250 C >800-1000 mm
1060,Endmaße,DIN EN ISO 3650,<=100 mm / B,5.21,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 <=100 mm / B
1061,Endmaße,DIN EN ISO 3650,>100-200 mm / B,18.23,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 >100-200 mm / B
1062,Endmaße,DIN EN ISO 3650,>200-400 mm / B,33.88,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 >200-400 mm / B
1063,Endmaße,DIN EN ISO 3650,>400-1000 mm / B,65.15,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 >400-1000 mm / B
1068,Endmaßschenkel,BS 4311,,10.42,ISO,Dimensionsmesstechnik,Endmaßschenkel BS 4311
1069,Endmaßgrundplatte,BS 4311,,18.23,ISO,Dimensionsmesstechnik,Endmaßgrundplatte BS 4311
1070,Endmaßschnäbel,BS 4311,,10.42,ISO,Dimensionsmesstechnik,Endmaßschnäbel BS 4311
1071,Endmaße,DIN EN ISO 3650,<=100 mm / A,6.51,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 <=100 mm / A
1072,Endmaße,DIN EN ISO 3650,>100-200 mm / A,20.85,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 >100-200 mm / A
1073,Endmaße,DIN EN ISO 3650,>200-400 mm / A,36.47,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 >200-400 mm / A
1074,Endmaße,DIN EN ISO 3650,>400-1000 mm / A,67.77,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 >400-1000 mm / A
1075,Endmaße,DIN EN ISO 3650,<=100 mm / C,3.90,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 <=100 mm / C
1076,Endmaße,DIN EN ISO 3650,>100-200 mm / C,15.64,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 >100-200 mm / C
1077,Endmaße,DIN EN ISO 3650,>200-400 mm / C,31.27,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 >200-400 mm / C
1078,Endmaße,DIN EN ISO 3650,>400-1000 mm / C,62.54,ISO,Dimensionsmesstechnik,Endmaße DIN EN ISO 3650 >400-1000 mm / C
1079,Endmaßzentrierspitzen,BS 4311,,18.23,ISO,Dimensionsmesstechnik,Endmaßzentrierspitzen BS 4311
1080,Fühlerlehrensätze,DIN 2275,<=13 tlg,13.02,ISO,Temperaturmesstechnik,Fühlerlehrensätze DIN 2275 <=13 tlg
1081,Fühlerlehrensätze,DIN 2275,<=20 tlg,20.85,ISO,Temperaturmesstechnik,Fühlerlehrensätze DIN 2275 <=20 tlg
1082,Fühlerlehrensätze,DIN 2275,<=32tlg.,26.05,ISO,Temperaturmesstechnik,Fühlerlehrensätze DIN 2275 <=32tlg.
1084,Einstelllehre für Lochmittenmessschieber,,,20.85,ISO,Dimensionsmesstechnik,Einstelllehre für Lochmittenmessschieber
1085,Einstelllehre für Zweipunktinnenmessschraube,DIN 863,<=100mm,13.02,ISO,Dimensionsmesstechnik,Einstelllehre für Zweipunktinnenmessschraube DIN 863 <=100mm
1086,Einstelllehre für Zweipunktinnenmessschraube,DIN 863,>100-200mm,15.64,ISO,Dimensionsmesstechnik,Einstelllehre für Zweipunktinnenmessschraube DIN 863 >100-200mm
1087,Einstelllehre für Zweipunktinnenmessschraube,DIN 863,>200-400mm,18.23,ISO,Dimensionsmesstechnik,Einstelllehre für Zweipunktinnenmessschraube DIN 863 >200-400mm
1088,Einstelllehre für Zweipunktinnenmessschraube,DIN 863,>400-600mm,26.05,ISO,Dimensionsmesstechnik,Einstelllehre für Zweipunktinnenmessschraube DIN 863 >400-600mm
1089,Einstelllehre für Zweipunktinnenmessschraube,DIN 863,>600-1000mm,48.21,ISO,Dimensionsmesstechnik,Einstelllehre für Zweipunktinnenmessschraube DIN 863 >600-1000mm
1090,"Gewindegrenzlehrdorne, zylindrisch",,<=3 mm,26.05,ISO,Dimensionsmesstechnik,"Gewindegrenzlehrdorne, zylindrisch <=3 mm"
1091,"Gewindegrenzlehrdorne, zylindrisch",,>3-20 mm,15.64,ISO,Dimensionsmesstechnik,"Gewindegrenzlehrdorne, zylindrisch >3-20 mm"
1092,"Gewindegrenzlehrdorne, zylindrisch",,>20-60 mm,20.85,ISO,Dimensionsmesstechnik,"Gewindegrenzlehrdorne, zylindrisch >20-60 mm"
1093,"Gewindegrenzlehrdorne, zylindrisch",,>60-100 mm,26.05,ISO,Dimensionsmesstechnik,"Gewindegrenzlehrdorne, zylindrisch >60-100 mm"
1094,"Gewindegrenzlehrdorne, zylindrisch",,>100-200 mm,31.27,ISO,Dimensionsmesstechnik,"Gewindegrenzlehrdorne, zylindrisch >100-200 mm"
1095,"Gewindegrenzlehrdorne, zylindrisch",,>200-400 mm,35.18,ISO,Dimensionsmesstechnik,"Gewindegrenzlehrdorne, zylindrisch >200-400 mm"
1096,"Gewindegrenzlehrdorne, zylindrisch",,>400-800 mm,40.38,ISO,Dimensionsmesstechnik,"Gewindegrenzlehrdorne, zylindrisch >400-800 mm"
1097,Gewindegrenzlehrdorn,Option 4,<= 50 mm,49.51,ISO,Dimensionsmesstechnik,Gewindegrenzlehrdorn Option 4 <= 50 mm
1099,Aufpreis für mehrgängige Gewinde,,,6.51,ISO,Dimensionsmesstechnik,Aufpreis für mehrgängige Gewinde
1100,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch",,<=3 mm,18.23,ISO,Dimensionsmesstechnik,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch <=3 mm"
1101,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch",,>3-20 mm,10.42,ISO,Dimensionsmesstechnik,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch >3-20 mm"
1102,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch",,>20-60 mm,15.64,ISO,Dimensionsmesstechnik,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch >20-60 mm"
1103,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch",,>60-100 mm,18.23,ISO,Dimensionsmesstechnik,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch >60-100 mm"
1104,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch",,>100-200 mm,20.85,ISO,Dimensionsmesstechnik,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch >100-200 mm"
1105,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch",,>200-400 mm,24.76,ISO,Dimensionsmesstechnik,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch >200-400 mm"
1106,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch",,>400-800 mm,72.96,ISO,Dimensionsmesstechnik,"Gut- oder Ausschußgewindelehr- dorne, zylindrisch >400-800 mm"
1107,Gut- oder Aussschußgewindelehrdorn,Option 4,<= 50 mm,44.30,ISO,Dimensionsmesstechnik,Gut- oder Aussschußgewindelehrdorn Option 4 <= 50 mm
1110,"Gewindelehrdorne, kegelig",,<=25 mm,41.70,ISO,Dimensionsmesstechnik,"Gewindelehrdorne, kegelig <=25 mm"
1111,"Gewindelehrdorne, kegelig",,>25-50 mm,49.51,ISO,Dimensionsmesstechnik,"Gewindelehrdorne, kegelig >25-50 mm"
1112,"Gewindelehrdorne, kegelig",,>50-75 mm,59.94,ISO,Dimensionsmesstechnik,"Gewindelehrdorne, kegelig >50-75 mm"
1113,"Gewindelehrdorne, kegelig",,>75-100 mm,66.45,ISO,Dimensionsmesstechnik,"Gewindelehrdorne, kegelig >75-100 mm"
1120,"Gewindelehrringe, zylindrisch",,<=3 mm,23.45,ISO,Dimensionsmesstechnik,"Gewindelehrringe, zylindrisch <=3 mm"
1121,"Gewindelehrringe, zylindrisch",,>3-20 mm,15.64,ISO,Dimensionsmesstechnik,"Gewindelehrringe, zylindrisch >3-20 mm"
1122,"Gewindelehrringe, zylindrisch",,>20-60 mm,18.23,ISO,Dimensionsmesstechnik,"Gewindelehrringe, zylindrisch >20-60 mm"
1123,"Gewindelehrringe, zylindrisch",,>60-100 mm,20.85,ISO,Dimensionsmesstechnik,"Gewindelehrringe, zylindrisch >60-100 mm"
1124,"Gewindelehrringe, zylindrisch",,>100-200 mm,24.76,ISO,Dimensionsmesstechnik,"Gewindelehrringe, zylindrisch >100-200 mm"
1125,"Gewindelehrringe, zylindrisch",,>200 mm,32.56,ISO,Dimensionsmesstechnik,"Gewindelehrringe, zylindrisch >200 mm"
1127,Gewindelehrring,Option 4,<= 60 mm,44.30,ISO,Dimensionsmesstechnik,Gewindelehrring Option 4 <= 60 mm
1130,"Gewindelehrringe, kegelig",,<=25 mm,57.33,ISO,Dimensionsmesstechnik,"Gewindelehrringe, kegelig <=25 mm"
1131,"Gewindelehrringe, kegelig",,>25-50 mm,62.54,ISO,Dimensionsmesstechnik,"Gewindelehrringe, kegelig >25-50 mm"
1132,"Gewindelehrringe, kegelig",,>50-75 mm,67.77,ISO,Dimensionsmesstechnik,"Gewindelehrringe, kegelig >50-75 mm"
1133,"Gewindelehrringe, kegelig",,>75-100 mm,72.96,ISO,Dimensionsmesstechnik,"Gewindelehrringe, kegelig >75-100 mm"
1134,"Gewindelehrringe, kegelig",,>100-150 mm,83.39,ISO,Dimensionsmesstechnik,"Gewindelehrringe, kegelig >100-150 mm"
1135,"Gewindelehrringe, kegelig",,>150-200 mm,96.41,ISO,Dimensionsmesstechnik,"Gewindelehrringe, kegelig >150-200 mm"
1140,Gewindemessdrähte,DIN 2269,Option 5.3.3,10.42,ISO,Dimensionsmesstechnik,Gewindemessdrähte DIN 2269 Option 5.3.3
1141,Messkugeln,DIN 2269,alle,9.12,ISO,Dimensionsmesstechnik,Messkugeln DIN 2269 alle
1142,Doppel-Kugeltaster,DIN 2269,,79.48,ISO,Dimensionsmesstechnik,Doppel-Kugeltaster DIN 2269
1143,Gewindemessdrähte,DIN 2269,Option 5.3.2,75.57,ISO,Dimensionsmesstechnik,Gewindemessdrähte DIN 2269 Option 5.3.2
1144,Gewindemessdrähte,DIN 2269,Option 5.3.1,122.48,ISO,Dimensionsmesstechnik,Gewindemessdrähte DIN 2269 Option 5.3.1
1145,API Gewinde,Working,,44.29,ISO,Dimensionsmesstechnik,API Gewinde Working
1146,API Gewinde,Working + Master,,83.67,ISO,Dimensionsmesstechnik,API Gewinde Working + Master
1150,Gewindemesseinsätze für Bügelmessschrauben,DIN 863,,20.85,ISO,Dimensionsmesstechnik,Gewindemesseinsätze für Bügelmessschrauben DIN 863
1151,Kugelmesseinsätze für Messschrauben,IN 2269,,10.42,ISO,Dimensionsmesstechnik,Kugelmesseinsätze für Messschrauben IN 2269
1155,"Gewinderachenlehre, fest",,>100-150 mm,71.66,ISO,Dimensionsmesstechnik,"Gewinderachenlehre, fest >100-150 mm"
1156,Gewindeschablonensätze,,<=60 tlg,62.54,ISO,Dimensionsmesstechnik,Gewindeschablonensätze <=60 tlg
1160,Einstellringe (mit Zylinderform- und Geradheits- prüfung),DIN 2250 C,<=50 mm,58.62,ISO,Sonstige Messtechnik,Einstellringe (mit Zylinderform- und Geradheits- prüfung) DIN 2250 C <=50 mm
1161,Einstellringe (mit Zylinderform- und Geradheits- prüfung),DIN 2250 C,>50 - 100 mm,69.06,ISO,Sonstige Messtechnik,Einstellringe (mit Zylinderform- und Geradheits- prüfung) DIN 2250 C >50 - 100 mm
1162,Einstellringe (mit Zylinderform- und Geradheits- prüfung),DIN 2250 C,>100 - 150 mm,79.48,ISO,Sonstige Messtechnik,Einstellringe (mit Zylinderform- und Geradheits- prüfung) DIN 2250 C >100 - 150 mm
1163,Einstellringe (mit Zylinderform- und Geradheits- prüfung),DIN 2250 C,>150 - 200 mm,89.91,ISO,Sonstige Messtechnik,Einstellringe (mit Zylinderform- und Geradheits- prüfung) DIN 2250 C >150 - 200 mm
1165,Einstellringe (voller Prüfumfang),DIN 2250 C,<=50 mm,75.57,ISO,Sonstige Messtechnik,Einstellringe (voller Prüfumfang) DIN 2250 C <=50 mm
1166,Einstellringe (voller Prüfumfang),DIN 2250 C,>50 - 100 mm,86.00,ISO,Sonstige Messtechnik,Einstellringe (voller Prüfumfang) DIN 2250 C >50 - 100 mm
1167,Einstellringe (voller Prüfumfang),DIN 2250 C,>100 - 150 mm,96.41,ISO,Sonstige Messtechnik,Einstellringe (voller Prüfumfang) DIN 2250 C >100 - 150 mm
1168,Einstellringe (voller Prüfumfang),DIN 2250 C,>150 - 200 mm,110.74,ISO,Sonstige Messtechnik,Einstellringe (voller Prüfumfang) DIN 2250 C >150 - 200 mm
1170,Grenzlehrdorne,DIN 7164,<=50 mm,6.51,ISO,Sonstige Messtechnik,Grenzlehrdorne DIN 7164 <=50 mm
1171,Grenzlehrdorne,DIN 7164,>50-100 mm,7.81,ISO,Sonstige Messtechnik,Grenzlehrdorne DIN 7164 >50-100 mm
1172,Grenzlehrdorne,DIN 7164,>100-150 mm,10.42,ISO,Sonstige Messtechnik,Grenzlehrdorne DIN 7164 >100-150 mm
1173,Grenzlehrdorne,DIN 7164,>150-200 mm,11.72,ISO,Sonstige Messtechnik,Grenzlehrdorne DIN 7164 >150-200 mm
1174,Grenzlehrdorne,DIN 7164,>200-250 mm,13.02,ISO,Sonstige Messtechnik,Grenzlehrdorne DIN 7164 >200-250 mm
1175,Grenzlehrdorne,DIN 7164,>250-300 mm,15.64,ISO,Sonstige Messtechnik,Grenzlehrdorne DIN 7164 >250-300 mm
1176,Grenzlehrdorne,DIN 7164,>300-400 mm,23.45,ISO,Sonstige Messtechnik,Grenzlehrdorne DIN 7164 >300-400 mm
1177,Grenzlehrdorne,DIN 7164,>400-600 mm,28.66,ISO,Sonstige Messtechnik,Grenzlehrdorne DIN 7164 >400-600 mm
1180,Grenzrachenlehre,DIN 7163,<=50 mm,10.42,ISO,Dimensionsmesstechnik,Grenzrachenlehre DIN 7163 <=50 mm
1181,Grenzrachenlehre,DIN 7163,>50-100 mm,11.72,ISO,Dimensionsmesstechnik,Grenzrachenlehre DIN 7163 >50-100 mm
1182,Grenzrachenlehre,DIN 7163,>100-150 mm,13.02,ISO,Dimensionsmesstechnik,Grenzrachenlehre DIN 7163 >100-150 mm
1183,Grenzrachenlehre,DIN 7163,>150-200 mm,15.64,ISO,Dimensionsmesstechnik,Grenzrachenlehre DIN 7163 >150-200 mm
1184,Grenzrachenlehre,DIN 7163,>200-250 mm,20.85,ISO,Dimensionsmesstechnik,Grenzrachenlehre DIN 7163 >200-250 mm
1185,Grenzrachenlehre,DIN 7163,>250-300 mm,28.66,ISO,Dimensionsmesstechnik,Grenzrachenlehre DIN 7163 >250-300 mm
1186,Grenzrachenlehre,DIN 7163,>300-400 mm,36.47,ISO,Dimensionsmesstechnik,Grenzrachenlehre DIN 7163 >300-400 mm
1187,Grenzrachenlehre,DIN 7163,>400-600 mm,41.70,ISO,Dimensionsmesstechnik,Grenzrachenlehre DIN 7163 >400-600 mm
1190,Gut- oder Ausschußlehrdorne,DIN 7164,<=50 mm,5.21,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrdorne DIN 7164 <=50 mm
1191,Gut- oder Ausschußlehrdorne,DIN 7164,>50-100 mm,6.51,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrdorne DIN 7164 >50-100 mm
1192,Gut- oder Ausschußlehrdorne,DIN 7164,>100-150 mm,7.81,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrdorne DIN 7164 >100-150 mm
1193,Gut- oder Ausschußlehrdorne,DIN 7164,>150-200 mm,10.42,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrdorne DIN 7164 >150-200 mm
1194,Gut- oder Ausschußlehrdorne,DIN 7164,>200-250 mm,11.72,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrdorne DIN 7164 >200-250 mm
1195,Gut- oder Ausschußlehrdorne,DIN 7164,>250-300 mm,13.02,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrdorne DIN 7164 >250-300 mm
1196,Gut- oder Ausschußlehrdorne,DIN 7164,>300-400 mm,15.64,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrdorne DIN 7164 >300-400 mm
1197,Gut- oder Ausschußlehrdorne,DIN 7164,>400-600 mm,20.85,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrdorne DIN 7164 >400-600 mm
1200,Gut- oder Ausschußlehrringe,DIN 2250,<=50 mm,11.72,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrringe DIN 2250 <=50 mm
1201,Gut- oder Ausschußlehrringe,DIN 2250,>50-100 mm,15.64,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrringe DIN 2250 >50-100 mm
1202,Gut- oder Ausschußlehrringe,DIN 2250,>100-150 mm,18.23,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrringe DIN 2250 >100-150 mm
1203,Gut- oder Ausschußlehrringe,DIN 2250,>150-200 mm,23.45,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrringe DIN 2250 >150-200 mm
1204,Gut- oder Ausschußlehrringe,DIN 2250,>200-250 mm,31.27,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrringe DIN 2250 >200-250 mm
1205,Gut- oder Ausschußlehrringe,DIN 2250,>250-300 mm,36.47,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrringe DIN 2250 >250-300 mm
1206,Gut- oder Ausschußlehrringe,DIN 2250,>300-400 mm,41.70,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrringe DIN 2250 >300-400 mm
1207,Gut- oder Ausschußlehrringe,DIN 2250,>400-600 mm,49.51,ISO,Sonstige Messtechnik,Gut- oder Ausschußlehrringe DIN 2250 >400-600 mm
1210,Gut- oder Ausschußrachenlehren,DIN 7163,<=50 mm,5.21,ISO,Dimensionsmesstechnik,Gut- oder Ausschußrachenlehren DIN 7163 <=50 mm
1211,Gut- oder Ausschußrachenlehren,DIN 7163,>50-100 mm,6.51,ISO,Dimensionsmesstechnik,Gut- oder Ausschußrachenlehren DIN 7163 >50-100 mm
1212,Gut- oder Ausschußrachenlehren,DIN 7163,>100-150 mm,7.81,ISO,Dimensionsmesstechnik,Gut- oder Ausschußrachenlehren DIN 7163 >100-150 mm
1213,Gut- oder Ausschußrachenlehren,DIN 7163,>150-200 mm,10.42,ISO,Dimensionsmesstechnik,Gut- oder Ausschußrachenlehren DIN 7163 >150-200 mm
1214,Gut- oder Ausschußrachenlehren,DIN 7163,>200-250 mm,13.02,ISO,Dimensionsmesstechnik,Gut- oder Ausschußrachenlehren DIN 7163 >200-250 mm
1215,Gut- oder Ausschußrachenlehren,DIN 7163,>250-300 mm,15.64,ISO,Dimensionsmesstechnik,Gut- oder Ausschußrachenlehren DIN 7163 >250-300 mm
1216,Gut- oder Ausschußrachenlehren,DIN 7163,>300-400 mm,20.85,ISO,Dimensionsmesstechnik,Gut- oder Ausschußrachenlehren DIN 7163 >300-400 mm
1217,Gut- oder Ausschußrachenlehren,DIN 7163,>400-600 mm,26.05,ISO,Dimensionsmesstechnik,Gut- oder Ausschußrachenlehren DIN 7163 >400-600 mm
1220,Kegelige Bohrungslehren,,,36.47,ISO,Dimensionsmesstechnik,Kegelige Bohrungslehren
1221,Aufpreis für Geradheitsmessung an Kegellehren,,,13.02,ISO,Dimensionsmesstechnik,Aufpreis für Geradheitsmessung an Kegellehren
1230,Kegellehrdorne,,<=25 mm,18.23,ISO,Sonstige Messtechnik,Kegellehrdorne <=25 mm
1231,Kegellehrdorne,,>25-50 mm,20.85,ISO,Sonstige Messtechnik,Kegellehrdorne >25-50 mm
1232,Kegellehrdorne,,>50-75 mm,23.45,ISO,Sonstige Messtechnik,Kegellehrdorne >50-75 mm
1233,Kegellehrdorne,,>75-100 mm,26.05,ISO,Sonstige Messtechnik,Kegellehrdorne >75-100 mm
1235,Kegellehrdorne (mit Formmessung),,<=25mm,44.30,ISO,Sonstige Messtechnik,Kegellehrdorne (mit Formmessung) <=25mm
1236,Kegellehrdorne (mit Formmessung),,>25-50mm,46.90,ISO,Sonstige Messtechnik,Kegellehrdorne (mit Formmessung) >25-50mm
1237,Kegellehrdorne (mit Formmessung),,>50-75mm,49.51,ISO,Sonstige Messtechnik,Kegellehrdorne (mit Formmessung) >50-75mm
1238,Kegellehrdorne (mit Formmessung),,>75-100mm,52.12,ISO,Sonstige Messtechnik,Kegellehrdorne (mit Formmessung) >75-100mm
1239,Kegellehrdorne (mit Formmessung),,>100-200mm,57.33,ISO,Sonstige Messtechnik,Kegellehrdorne (mit Formmessung) >100-200mm
1240,Kegellehrringe,,<=25 mm,20.85,ISO,Sonstige Messtechnik,Kegellehrringe <=25 mm
1241,Kegellehrringe,,>25-50 mm,23.45,ISO,Sonstige Messtechnik,Kegellehrringe >25-50 mm
1242,Kegellehrringe,,>50-75 mm,24.76,ISO,Sonstige Messtechnik,Kegellehrringe >50-75 mm
1243,Kegellehrringe,,>75-100 mm,26.05,ISO,Sonstige Messtechnik,Kegellehrringe >75-100 mm
1245,Kegellehrringe (mit Formmessung),,<=25mm,46.90,ISO,Sonstige Messtechnik,Kegellehrringe (mit Formmessung) <=25mm
1246,Kegellehrringe (mit Formmessung),,>25-50 mm,49.51,ISO,Sonstige Messtechnik,Kegellehrringe (mit Formmessung) >25-50 mm
1247,Kegellehrringe (mit Formmessung),,>50-75mm,50.81,ISO,Sonstige Messtechnik,Kegellehrringe (mit Formmessung) >50-75mm
1248,Kegellehrringe (mit Formmessung),,>75-100mm,52.12,ISO,Sonstige Messtechnik,Kegellehrringe (mit Formmessung) >75-100mm
